Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	1156	4.18e-36	35.4	12.1	12.3	-90.8	-0.5	15	-86.5	-1.6	426	10.2	-75.7	-10.5	148
10	97	5.36e-06	5.27	5.79	-13.7	-104	2	-11.5	-103	3.95	142	-9.32	-102	7	72.5
9	73	9.11e-05	4.04	4.81	-4.99	39.2	42	1.5	39.4	44.2	172	-0.652	47.9	47	108
8	73	9.11e-05	4.04	4.64	51.4	24	9.5	55.4	22.3	8.26	199	57.9	21.9	2	127
7	72	0.000103	3.99	5.03	-54.8	-58.3	34.5	-52.1	-58.2	31.2	177	-57	-58.3	34.5	113
6	57	0.00072	3.14	3.89	44.9	-56.2	14.5	44.5	-55.6	12.7	159	42.7	-56.2	12	103
5	50	0.00189	2.72	6	25.4	17.5	42	26.3	17.7	43.1	149	25.4	17.5	44.5	90.3
4	47	0.00289	2.54	4.26	42.7	4.52	52	40.2	5.85	51.3	176	42.7	4.52	54.5	114
3	42	0.00601	2.22	4.62	-4.99	24	62	-3.66	25.8	59.4	160	-2.82	26.2	59.5	112
2	31	0.0332	1.48	4.97	10.2	-23.6	12	10.4	-22.2	11.4	132	10.2	-23.6	12	99.3
1	30	0.0391	1.41	3.99	-61.3	-47.5	9.5	-59.9	-49.9	7.96	128	-59.2	-51.8	9.5	101
