Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
23	3443	0	82.4	15.2	57.9	-69.2	7	22.3	-81.4	4.07	641	57.9	-69.2	9.5	149
22	300	2.28e-15	14.6	6.84	51.4	41.4	7	47.2	36.4	15.1	306	51.4	43.5	7	118
21	208	8.85e-12	11.1	5.04	12.3	-56.2	54.5	6.88	-53.7	53	261	-0.652	-45.3	57	124
20	203	1.43e-11	10.8	9.17	-52.7	-77.8	4.5	-51.5	-77.6	5.83	208	-54.8	-77.8	4.5	106
19	192	4.18e-11	10.4	6.78	-26.7	-88.7	19.5	-30.2	-85.4	25.2	250	-26.7	-88.7	22	132
18	158	1.32e-09	8.88	4.57	-44	-45.3	34.5	-53.5	-43.5	42	227	-48.3	-45.3	47	97.2
17	141	8.13e-09	8.09	4.72	-48.3	37	17	-47.5	38.6	18.1	276	-48.3	43.5	22	149
16	92	2.44e-06	5.61	5.44	3.68	-80	54.5	5.31	-75	56.4	320	3.68	-75.7	59.5	159
15	83	7.75e-06	5.11	4.25	14.5	17.5	-5.5	10.3	15.7	-3.36	159	5.85	11	2	115
14	74	2.56e-05	4.59	4.44	21	-4.15	67	24.5	-5.19	66.6	197	31.9	-4.15	69.5	91
13	56	0.000326	3.49	4.31	14.5	6.69	9.5	14.1	14	9.2	141	12.3	6.69	9.5	104
12	53	0.000511	3.29	6.01	-48.3	-62.7	12	-46.6	-61.6	11	187	-48.3	-62.7	12	96
11	48	0.0011	2.96	5.53	66.5	-34.5	17	68.6	-33.2	16.9	128	68.7	-34.5	17	71.6
10	47	0.00129	2.89	5.03	-37.5	-1.98	7	-41.6	-3.39	3.14	275	-48.3	-4.15	-0.5	134
9	46	0.00151	2.82	6.36	40.5	-30.2	-20.5	40.6	-33.1	-21.6	192	40.5	-30.2	-20.5	94.2
8	43	0.00243	2.61	6.06	44.9	-49.7	-20.5	45.8	-49.4	-21.5	142	44.9	-51.8	-23	95.1
7	43	0.00243	2.61	4.61	49.2	13.2	12	50.7	12.2	11.1	143	60	15.4	12	102
6	42	0.00286	2.54	4.12	16.7	-10.6	-10.5	22.5	-13.1	-15.7	226	16.7	-4.15	-15.5	130
5	40	0.00398	2.4	4.76	49.2	-10.6	-15.5	51.1	-12.4	-13.4	313	51.4	-15	-10.5	177
4	36	0.0078	2.11	4.56	21	-30.2	-3	17.9	-33.6	-2.66	195	14.5	-36.7	-3	140
3	31	0.0187	1.73	4.41	16.7	60.9	17	17.9	64.1	18.4	187	18.9	67.4	19.5	122
2	30	0.0224	1.65	5.38	-46.2	-64.8	-25.5	-46.6	-64.6	-22.4	204	-41.8	-69.2	-23	117
1	26	0.0467	1.33	4.33	-57	19.7	-3	-56	22.7	-0.764	132	-57	21.9	-0.5	98.6
