participant_id,manikin,score,stimulus,date
4,pleasure,6,View-yes-01.mp4,2026-08-05T16:47:18.429521
4,arousal,3,View-yes-01.mp4,2026-08-05T16:47:34.962937
4,dominance,5,View-yes-01.mp4,2026-08-05T16:47:42.738608
4,pleasure,6,Person-yes-01.mp4,2026-08-05T16:47:55.104082
4,arousal,6,Person-yes-01.mp4,2026-08-05T16:48:01.030363
4,dominance,4,Person-yes-01.mp4,2026-08-05T16:48:06.275945
4,pleasure,6,View-yes-00.mp4,2026-08-05T16:48:14.802823
4,arousal,4,View-yes-00.mp4,2026-08-05T16:48:19.638345
4,dominance,5,View-yes-00.mp4,2026-08-05T16:48:22.502809
4,pleasure,4,Back-no-02.mp4,2026-08-05T16:48:27.250223
4,arousal,3,Back-no-02.mp4,2026-08-05T16:48:31.672763
4,dominance,7,Back-no-02.mp4,2026-08-05T16:48:35.657946
4,pleasure,7,Person-yes-04.mp4,2026-08-05T16:48:42.732643
4,arousal,6,Person-yes-04.mp4,2026-08-05T16:48:46.266287
4,dominance,6,Person-yes-04.mp4,2026-08-05T16:48:50.913102
4,pleasure,3,View-no-01.mp4,2026-08-05T16:48:55.413189
4,arousal,4,View-no-01.mp4,2026-08-05T16:49:00.650336
4,dominance,8,View-no-01.mp4,2026-08-05T16:49:04.899599
4,pleasure,6,Person-no-04.mp4,2026-08-05T16:49:09.708289
4,arousal,3,Person-no-04.mp4,2026-08-05T16:49:14.101506
4,dominance,5,Person-no-04.mp4,2026-08-05T16:49:21.079333
4,pleasure,3,View-no-03.mp4,2026-08-05T16:49:24.894542
4,arousal,6,View-no-03.mp4,2026-08-05T16:49:29.662670
4,dominance,7,View-no-03.mp4,2026-08-05T16:49:33.103047
4,pleasure,3,Back-no-03.mp4,2026-08-05T16:49:38.594990
4,arousal,5,Back-no-03.mp4,2026-08-05T16:49:42.318999
4,dominance,7,Back-no-03.mp4,2026-08-05T16:49:46.616502
4,pleasure,6,Person-no-00.mp4,2026-08-05T16:49:51.570127
4,arousal,4,Person-no-00.mp4,2026-08-05T16:49:55.076752
4,dominance,6,Person-no-00.mp4,2026-08-05T16:49:57.152976
4,pleasure,6,Back-no-00.mp4,2026-08-05T16:50:02.727211
4,arousal,3,Back-no-00.mp4,2026-08-05T16:50:05.584717
4,dominance,4,Back-no-00.mp4,2026-08-05T16:50:12.196173
4,pleasure,3,View-no-02.mp4,2026-08-05T16:50:17.631661
4,arousal,6,View-no-02.mp4,2026-08-05T16:50:20.289948
4,dominance,7,View-no-02.mp4,2026-08-05T16:50:24.056572
4,pleasure,2,Back-yes-02.mp4,2026-08-05T16:50:28.142169
4,arousal,7,Back-yes-02.mp4,2026-08-05T16:50:30.778831
4,dominance,8,Back-yes-02.mp4,2026-08-05T16:50:33.985961
4,pleasure,6,Person-yes-03.mp4,2026-08-05T16:50:41.144665
