participant_id,manikin,score,stimulus,date
9,pleasure,4,Person-no-00.mp4,2026-08-15T12:37:27.768503
9,arousal,6,Person-no-00.mp4,2026-08-15T12:37:58.761284
9,dominance,6,Person-no-00.mp4,2026-08-15T12:38:19.501099
9,pleasure,6,Person-no-01.mp4,2026-08-15T12:38:36.609402
9,arousal,5,Person-no-01.mp4,2026-08-15T12:39:10.653660
9,dominance,6,Person-no-01.mp4,2026-08-15T12:39:24.082454
9,pleasure,4,Back-no-04.mp4,2026-08-15T12:39:44.491362
9,arousal,3,Back-no-04.mp4,2026-08-15T12:39:50.782219
9,dominance,3,Back-no-04.mp4,2026-08-15T12:39:55.300496
9,pleasure,6,Back-no-00.mp4,2026-08-15T12:40:06.573590
9,arousal,4,Back-no-00.mp4,2026-08-15T12:40:15.705092
9,dominance,5,Back-no-00.mp4,2026-08-15T12:40:21.588072
9,pleasure,2,Back-yes-02.mp4,2026-08-15T12:40:29.813722
9,arousal,2,Back-yes-02.mp4,2026-08-15T12:40:32.676235
9,dominance,2,Back-yes-02.mp4,2026-08-15T12:40:37.132781
9,pleasure,1,View-no-01.mp4,2026-08-15T12:40:46.177229
9,arousal,1,View-no-01.mp4,2026-08-15T12:40:49.919230
9,dominance,2,View-no-01.mp4,2026-08-15T12:42:15.137875
9,pleasure,8,View-yes-04.mp4,2026-08-15T12:42:22.728332
9,arousal,8,View-yes-04.mp4,2026-08-15T12:42:25.866434
9,dominance,7,View-yes-04.mp4,2026-08-15T12:42:29.394742
9,pleasure,1,View-no-03.mp4,2026-08-15T12:42:33.150675
9,arousal,1,View-no-03.mp4,2026-08-15T12:42:35.698801
9,dominance,1,View-no-03.mp4,2026-08-15T12:42:41.445753
9,pleasure,4,Person-no-04.mp4,2026-08-15T12:42:51.441902
9,arousal,4,Person-no-04.mp4,2026-08-15T12:42:53.818343
9,dominance,4,Person-no-04.mp4,2026-08-15T12:42:56.775955
9,pleasure,1,Back-yes-01.mp4,2026-08-15T12:43:00.172676
9,arousal,1,Back-yes-01.mp4,2026-08-15T12:43:02.061665
9,dominance,1,Back-yes-01.mp4,2026-08-15T12:43:03.427282
9,pleasure,1,View-no-02.mp4,2026-08-15T12:43:05.017504
9,arousal,1,View-no-02.mp4,2026-08-15T12:43:06.693703
9,dominance,1,View-no-02.mp4,2026-08-15T12:43:08.399435
9,pleasure,6,View-yes-00.mp4,2026-08-15T12:43:12.794870
9,arousal,6,View-yes-00.mp4,2026-08-15T12:43:16.191607
9,dominance,6,View-yes-00.mp4,2026-08-15T12:43:18.009474
9,pleasure,6,Person-yes-04.mp4,2026-08-15T12:43:28.516263
9,arousal,6,Person-yes-04.mp4,2026-08-15T12:43:33.128789
9,dominance,5,Person-yes-04.mp4,2026-08-15T12:43:36.681460
9,pleasure,5,Back-yes-03.mp4,2026-08-15T12:43:43.989177
9,arousal,4,Back-yes-03.mp4,2026-08-15T12:43:50.079990
9,dominance,6,Back-yes-03.mp4,2026-08-15T12:43:57.455255
9,pleasure,4,View-yes-03.mp4,2026-08-15T12:44:03.023001
9,arousal,4,View-yes-03.mp4,2026-08-15T12:44:05.300333
9,dominance,5,View-yes-03.mp4,2026-08-15T12:44:10.170916
9,pleasure,1,Back-yes-04.mp4,2026-08-15T12:44:15.780370
9,arousal,1,Back-yes-04.mp4,2026-08-15T12:44:17.013709
9,dominance,1,Back-yes-04.mp4,2026-08-15T12:44:21.576747
9,pleasure,2,Person-yes-02.mp4,2026-08-15T12:44:38.617583
9,arousal,1,Person-yes-02.mp4,2026-08-15T12:44:42.553879
9,dominance,2,Person-yes-02.mp4,2026-08-15T12:44:47.525165
9,pleasure,3,View-no-04.mp4,2026-08-15T12:44:54.340372
9,arousal,2,View-no-04.mp4,2026-08-15T12:44:58.152868
9,dominance,2,View-no-04.mp4,2026-08-15T12:45:01.049489
9,pleasure,9,Person-no-03.mp4,2026-08-15T12:45:07.384209
9,arousal,9,Person-no-03.mp4,2026-08-15T12:45:10.231030
9,dominance,9,Person-no-03.mp4,2026-08-15T12:45:13.007689
9,pleasure,5,Back-no-01.mp4,2026-08-15T12:45:18.930875
9,arousal,5,Back-no-01.mp4,2026-08-15T12:45:20.945287
9,dominance,5,Back-no-01.mp4,2026-08-15T12:45:22.888434
9,pleasure,6,Person-yes-01.mp4,2026-08-15T12:45:31.841370
9,arousal,6,Person-yes-01.mp4,2026-08-15T12:45:34.581961
9,dominance,6,Person-yes-01.mp4,2026-08-15T12:45:37.136165
9,pleasure,4,View-yes-02.mp4,2026-08-15T12:45:44.493760
9,arousal,4,View-yes-02.mp4,2026-08-15T12:45:46.727137
9,dominance,4,View-yes-02.mp4,2026-08-15T12:45:48.344717
9,pleasure,5,Person-yes-00.mp4,2026-08-15T12:45:58.649014
9,arousal,5,Person-yes-00.mp4,2026-08-15T12:45:59.793713
9,dominance,5,Person-yes-00.mp4,2026-08-15T12:46:02.161911
9,pleasure,1,View-no-00.mp4,2026-08-15T12:46:04.819022
9,arousal,1,View-no-00.mp4,2026-08-15T12:46:08.709930
9,dominance,1,View-no-00.mp4,2026-08-15T12:46:11.184935
9,pleasure,5,View-yes-01.mp4,2026-08-15T12:46:18.138014
9,arousal,3,View-yes-01.mp4,2026-08-15T12:46:22.273250
9,dominance,6,View-yes-01.mp4,2026-08-15T12:46:26.216456
9,pleasure,9,Person-yes-03.mp4,2026-08-15T12:46:30.381122
9,arousal,9,Person-yes-03.mp4,2026-08-15T12:46:31.655347
9,dominance,9,Person-yes-03.mp4,2026-08-15T12:46:32.815718
9,pleasure,5,Back-no-03.mp4,2026-08-15T12:46:37.281954
9,arousal,5,Back-no-03.mp4,2026-08-15T12:46:39.060531
9,dominance,5,Back-no-03.mp4,2026-08-15T12:46:40.295731
9,pleasure,1,Back-yes-00.mp4,2026-08-15T12:46:44.052168
9,arousal,1,Back-yes-00.mp4,2026-08-15T12:46:48.873381
9,dominance,1,Back-yes-00.mp4,2026-08-15T12:46:51.582875
9,pleasure,2,Back-no-02.mp4,2026-08-15T12:46:55.861314
9,arousal,2,Back-no-02.mp4,2026-08-15T12:46:57.527670
9,dominance,2,Back-no-02.mp4,2026-08-15T12:46:58.782139
9,pleasure,5,Person-no-02.mp4,2026-08-15T12:47:03.283486
9,arousal,5,Person-no-02.mp4,2026-08-15T12:47:05.655128
9,dominance,5,Person-no-02.mp4,2026-08-15T12:47:07.017336
