participant_id,manikin,score,stimulus,date
3,pleasure,3,Person-yes-00.mp4,2026-08-05T15:53:54.065456
3,arousal,3,Person-yes-00.mp4,2026-08-05T15:54:07.072851
3,dominance,7,Person-yes-00.mp4,2026-08-05T15:54:12.566420
3,pleasure,4,Back-no-04.mp4,2026-08-05T15:54:35.617177
3,arousal,5,Back-no-04.mp4,2026-08-05T15:54:44.846064
3,dominance,7,Back-no-04.mp4,2026-08-05T15:54:51.286772
3,pleasure,7,Person-no-01.mp4,2026-08-05T15:54:54.928865
3,arousal,7,Person-no-01.mp4,2026-08-05T15:54:59.137370
3,dominance,7,Person-no-01.mp4,2026-08-05T15:55:04.203781
3,pleasure,6,Person-no-02.mp4,2026-08-05T15:55:09.079639
3,arousal,4,Person-no-02.mp4,2026-08-05T15:55:13.663525
3,dominance,7,Person-no-02.mp4,2026-08-05T15:55:20.508231
3,pleasure,4,View-no-03.mp4,2026-08-05T15:55:30.947458
3,arousal,7,View-no-03.mp4,2026-08-05T15:55:38.080068
3,dominance,2,View-no-03.mp4,2026-08-05T15:55:43.658275
3,pleasure,4,Back-yes-03.mp4,2026-08-05T15:55:52.641850
3,arousal,7,Back-yes-03.mp4,2026-08-05T15:55:57.842089
3,dominance,4,Back-yes-03.mp4,2026-08-05T15:56:03.102635
3,pleasure,3,View-no-04.mp4,2026-08-05T15:56:10.687917
3,arousal,6,View-no-04.mp4,2026-08-05T15:56:14.419479
3,dominance,3,View-no-04.mp4,2026-08-05T15:56:17.879045
3,pleasure,3,View-no-00.mp4,2026-08-05T15:56:26.639511
3,arousal,7,View-no-00.mp4,2026-08-05T15:56:29.556885
3,dominance,3,View-no-00.mp4,2026-08-05T15:56:32.176289
3,pleasure,7,Back-no-03.mp4,2026-08-05T15:56:37.081954
3,arousal,4,Back-no-03.mp4,2026-08-05T15:56:41.228149
3,dominance,7,Back-no-03.mp4,2026-08-05T15:56:45.539109
3,pleasure,4,Person-yes-01.mp4,2026-08-05T15:56:55.149179
3,arousal,4,Person-yes-01.mp4,2026-08-05T15:57:01.519610
3,dominance,4,Person-yes-01.mp4,2026-08-05T15:57:06.265578
3,pleasure,3,Back-yes-02.mp4,2026-08-05T15:57:10.284091
3,arousal,6,Back-yes-02.mp4,2026-08-05T15:57:16.323509
3,dominance,4,Back-yes-02.mp4,2026-08-05T15:57:19.219616
3,pleasure,3,Person-no-00.mp4,2026-08-05T15:57:26.459405
3,arousal,3,Person-no-00.mp4,2026-08-05T15:57:35.010009
3,dominance,7,Person-no-00.mp4,2026-08-05T15:57:38.750876
3,pleasure,3,Back-yes-00.mp4,2026-08-05T15:57:42.215223
3,arousal,6,Back-yes-00.mp4,2026-08-05T15:57:45.515666
3,dominance,4,Back-yes-00.mp4,2026-08-05T15:57:49.000479
3,pleasure,8,View-yes-02.mp4,2026-08-05T15:57:52.543520
3,arousal,3,View-yes-02.mp4,2026-08-05T15:57:56.101354
3,dominance,7,View-yes-02.mp4,2026-08-05T15:57:59.543758
3,pleasure,4,Person-no-04.mp4,2026-08-05T15:58:02.470485
3,arousal,6,Person-no-04.mp4,2026-08-05T15:58:05.243122
3,dominance,3,Person-no-04.mp4,2026-08-05T15:58:09.391188
3,pleasure,4,Person-yes-02.mp4,2026-08-05T15:58:12.521914
3,arousal,3,Person-yes-02.mp4,2026-08-05T15:58:19.549159
3,dominance,7,Person-yes-02.mp4,2026-08-05T15:58:23.079545
3,pleasure,3,View-no-01.mp4,2026-08-05T15:58:25.692504
3,arousal,7,View-no-01.mp4,2026-08-05T15:58:28.759961
3,dominance,3,View-no-01.mp4,2026-08-05T15:58:31.482871
3,pleasure,7,Person-yes-04.mp4,2026-08-05T15:58:37.582735
3,arousal,3,Person-yes-04.mp4,2026-08-05T15:58:41.240782
3,dominance,6,Person-yes-04.mp4,2026-08-05T15:58:44.347998
3,pleasure,7,Person-yes-03.mp4,2026-08-05T15:58:48.478359
3,arousal,4,Person-yes-03.mp4,2026-08-05T15:58:51.662304
3,dominance,7,Person-yes-03.mp4,2026-08-05T15:58:54.529793
3,pleasure,8,View-yes-03.mp4,2026-08-05T15:58:57.815935
3,arousal,2,View-yes-03.mp4,2026-08-05T15:59:01.050519
3,dominance,8,View-yes-03.mp4,2026-08-05T15:59:03.964114
3,pleasure,4,Back-no-02.mp4,2026-08-05T15:59:06.869181
3,arousal,6,Back-no-02.mp4,2026-08-05T15:59:12.501226
3,dominance,6,Back-no-02.mp4,2026-08-05T15:59:15.603311
3,pleasure,4,Back-no-00.mp4,2026-08-05T15:59:20.491925
3,arousal,6,Back-no-00.mp4,2026-08-05T15:59:22.137449
3,dominance,6,Back-no-00.mp4,2026-08-05T15:59:25.249841
3,pleasure,8,View-yes-01.mp4,2026-08-05T15:59:28.699893
3,arousal,3,View-yes-01.mp4,2026-08-05T15:59:31.132203
3,dominance,8,View-yes-01.mp4,2026-08-05T15:59:33.869099
3,pleasure,3,View-no-02.mp4,2026-08-05T15:59:36.269884
3,arousal,7,View-no-02.mp4,2026-08-05T15:59:38.876813
3,dominance,3,View-no-02.mp4,2026-08-05T15:59:40.793707
3,pleasure,8,View-yes-00.mp4,2026-08-05T15:59:43.247028
