participant_id,manikin,score,stimulus,date
7,pleasure,2,Back-yes-01.mp4,2026-08-14T11:43:13.471013
7,arousal,3,Back-yes-01.mp4,2026-08-14T11:43:23.481519
7,dominance,1,Back-yes-01.mp4,2026-08-14T11:43:28.641798
7,pleasure,6,View-yes-03.mp4,2026-08-14T11:43:37.141606
7,arousal,3,View-yes-03.mp4,2026-08-14T11:43:53.143224
7,dominance,3,View-yes-03.mp4,2026-08-14T11:43:57.298140
7,pleasure,2,Person-yes-01.mp4,2026-08-14T11:44:10.083431
7,arousal,4,Person-yes-01.mp4,2026-08-14T11:44:17.088707
7,dominance,3,Person-yes-01.mp4,2026-08-14T11:44:21.178969
7,pleasure,3,Person-yes-00.mp4,2026-08-14T11:44:30.440321
7,arousal,4,Person-yes-00.mp4,2026-08-14T11:44:40.660349
7,dominance,3,Person-yes-00.mp4,2026-08-14T11:44:53.041159
7,pleasure,2,Person-no-02.mp4,2026-08-14T11:45:00.099082
7,arousal,3,Person-no-02.mp4,2026-08-14T11:45:08.390935
7,dominance,3,Person-no-02.mp4,2026-08-14T11:45:13.722564
7,pleasure,4,Back-no-02.mp4,2026-08-14T11:45:18.696124
7,arousal,3,Back-no-02.mp4,2026-08-14T11:45:28.124592
7,dominance,3,Back-no-02.mp4,2026-08-14T11:45:34.086651
7,pleasure,3,Person-no-01.mp4,2026-08-14T11:45:49.808584
7,arousal,4,Person-no-01.mp4,2026-08-14T11:46:00.940074
7,dominance,3,Person-no-01.mp4,2026-08-14T11:46:07.124331
7,pleasure,3,Person-yes-02.mp4,2026-08-14T11:46:23.440204
7,arousal,4,Person-yes-02.mp4,2026-08-14T11:46:38.943302
7,dominance,3,Person-yes-02.mp4,2026-08-14T11:46:43.701550
7,pleasure,2,Back-yes-00.mp4,2026-08-14T11:46:49.375579
7,arousal,2,Back-yes-00.mp4,2026-08-14T11:46:53.473039
7,dominance,2,Back-yes-00.mp4,2026-08-14T11:46:59.831952
7,pleasure,3,View-no-00.mp4,2026-08-14T11:47:07.128945
7,arousal,2,View-no-00.mp4,2026-08-14T11:47:20.017724
7,dominance,5,View-no-00.mp4,2026-08-14T11:47:27.939093
7,pleasure,3,Back-no-04.mp4,2026-08-14T11:47:36.752246
7,arousal,2,Back-no-04.mp4,2026-08-14T11:47:47.603329
7,dominance,3,Back-no-04.mp4,2026-08-14T11:47:52.631554
7,pleasure,5,Back-no-03.mp4,2026-08-14T11:47:57.877860
7,arousal,5,Back-no-03.mp4,2026-08-14T11:48:07.142522
7,dominance,4,Back-no-03.mp4,2026-08-14T11:48:11.613105
7,pleasure,5,Back-yes-03.mp4,2026-08-14T11:48:17.412413
7,arousal,4,Back-yes-03.mp4,2026-08-14T11:48:23.659078
