participant_id,manikin,score,stimulus,date
2,pleasure,8,Person-yes-00.mp4,2026-08-04T14:01:53.195432
2,arousal,4,Person-yes-00.mp4,2026-08-04T14:02:11.082742
2,dominance,5,Person-yes-00.mp4,2026-08-04T14:02:17.823586
2,pleasure,8,View-yes-03.mp4,2026-08-04T14:02:23.195227
2,arousal,4,View-yes-03.mp4,2026-08-04T14:02:28.709346
2,dominance,6,View-yes-03.mp4,2026-08-04T14:02:32.975879
2,pleasure,3,Person-no-00.mp4,2026-08-04T14:02:39.152252
2,arousal,6,Person-no-00.mp4,2026-08-04T14:02:44.634821
2,dominance,3,Person-no-00.mp4,2026-08-04T14:02:48.697504
2,pleasure,4,Person-no-04.mp4,2026-08-04T14:02:52.599743
2,arousal,4,Person-no-04.mp4,2026-08-04T14:02:56.188160
2,dominance,5,Person-no-04.mp4,2026-08-04T14:03:00.814543
2,pleasure,1,View-no-02.mp4,2026-08-04T14:03:05.687644
2,arousal,7,View-no-02.mp4,2026-08-04T14:03:15.060544
2,dominance,1,View-no-02.mp4,2026-08-04T14:03:20.526015
2,pleasure,3,View-no-04.mp4,2026-08-04T14:03:27.636433
2,arousal,4,View-no-04.mp4,2026-08-04T14:03:31.511150
2,dominance,4,View-no-04.mp4,2026-08-04T14:03:36.066198
2,pleasure,2,Person-no-02.mp4,2026-08-04T14:03:40.192069
2,arousal,2,Person-no-02.mp4,2026-08-04T14:03:43.924824
2,dominance,3,Person-no-02.mp4,2026-08-04T14:03:50.382182
2,pleasure,8,View-yes-02.mp4,2026-08-04T14:03:53.629934
2,arousal,4,View-yes-02.mp4,2026-08-04T14:03:59.045601
2,dominance,8,View-yes-02.mp4,2026-08-04T14:04:02.457022
2,pleasure,2,Back-no-02.mp4,2026-08-04T14:04:06.694788
2,arousal,8,Back-no-02.mp4,2026-08-04T14:04:10.567850
2,dominance,2,Back-no-02.mp4,2026-08-04T14:04:13.614509
2,pleasure,3,Back-no-04.mp4,2026-08-04T14:04:17.849551
2,arousal,3,Back-no-04.mp4,2026-08-04T14:04:20.581196
2,dominance,5,Back-no-04.mp4,2026-08-04T14:04:23.863457
2,pleasure,5,Person-no-03.mp4,2026-08-04T14:04:31.833192
2,arousal,4,Person-no-03.mp4,2026-08-04T14:04:35.419339
2,dominance,5,Person-no-03.mp4,2026-08-04T14:04:38.005134
2,pleasure,2,Person-yes-01.mp4,2026-08-04T14:04:46.723928
2,arousal,4,Person-yes-01.mp4,2026-08-04T14:04:50.875006
2,dominance,5,Person-yes-01.mp4,2026-08-04T14:04:54.923592
2,pleasure,3,Back-yes-04.mp4,2026-08-04T14:04:58.330930
2,arousal,8,Back-yes-04.mp4,2026-08-04T14:05:00.661471
2,dominance,5,Back-yes-04.mp4,2026-08-04T14:05:03.330713
2,pleasure,3,Back-no-01.mp4,2026-08-04T14:05:05.765011
2,arousal,6,Back-no-01.mp4,2026-08-04T14:05:10.829388
2,dominance,4,Back-no-01.mp4,2026-08-04T14:05:14.567330
2,pleasure,1,View-no-01.mp4,2026-08-04T14:05:17.221290
2,arousal,9,View-no-01.mp4,2026-08-04T14:05:20.279386
2,dominance,5,View-no-01.mp4,2026-08-04T14:05:23.904753
2,pleasure,8,View-yes-01.mp4,2026-08-04T14:05:27.396750
2,arousal,4,View-yes-01.mp4,2026-08-04T14:05:31.423900
2,dominance,5,View-yes-01.mp4,2026-08-04T14:05:34.317937
2,pleasure,1,View-no-00.mp4,2026-08-04T14:05:37.091610
2,arousal,9,View-no-00.mp4,2026-08-04T14:05:40.025966
2,dominance,4,View-no-00.mp4,2026-08-04T14:05:43.962152
2,pleasure,6,Back-no-03.mp4,2026-08-04T14:05:49.126625
2,arousal,4,Back-no-03.mp4,2026-08-04T14:05:52.731949
2,dominance,5,Back-no-03.mp4,2026-08-04T14:05:55.776897
2,pleasure,3,Back-no-00.mp4,2026-08-04T14:06:02.012402
2,arousal,4,Back-no-00.mp4,2026-08-04T14:06:03.621923
2,dominance,5,Back-no-00.mp4,2026-08-04T14:06:06.336121
2,pleasure,8,View-yes-00.mp4,2026-08-04T14:06:08.567745
2,arousal,3,View-yes-00.mp4,2026-08-04T14:06:11.540347
2,dominance,5,View-yes-00.mp4,2026-08-04T14:06:14.068083
2,pleasure,2,Back-yes-01.mp4,2026-08-04T14:06:16.279014
2,arousal,8,Back-yes-01.mp4,2026-08-04T14:06:18.915068
2,dominance,5,Back-yes-01.mp4,2026-08-04T14:06:21.620266
2,pleasure,1,Back-yes-02.mp4,2026-08-04T14:06:25.113555
2,arousal,9,Back-yes-02.mp4,2026-08-04T14:06:27.731929
2,dominance,2,Back-yes-02.mp4,2026-08-04T14:06:32.703852
2,pleasure,1,View-no-03.mp4,2026-08-04T14:06:34.727703
2,arousal,9,View-no-03.mp4,2026-08-04T14:06:38.630838
2,dominance,3,View-no-03.mp4,2026-08-04T14:06:41.700039
2,pleasure,3,Back-yes-00.mp4,2026-08-04T14:06:45.253133
2,arousal,2,Back-yes-00.mp4,2026-08-04T14:06:54.179753
2,dominance,2,Back-yes-00.mp4,2026-08-04T14:06:57.080967
2,pleasure,9,View-yes-04.mp4,2026-08-04T14:07:00.073631
2,arousal,5,View-yes-04.mp4,2026-08-04T14:07:03.265131
2,dominance,7,View-yes-04.mp4,2026-08-04T14:07:06.181116
2,pleasure,3,Person-yes-03.mp4,2026-08-04T14:07:10.587667
2,arousal,3,Person-yes-03.mp4,2026-08-04T14:07:16.619806
2,dominance,5,Person-yes-03.mp4,2026-08-04T14:07:21.358779
2,pleasure,3,Back-yes-03.mp4,2026-08-04T14:07:23.644346
2,arousal,4,Back-yes-03.mp4,2026-08-04T14:07:26.222123
2,dominance,4,Back-yes-03.mp4,2026-08-04T14:07:29.650079
2,pleasure,3,Person-yes-04.mp4,2026-08-04T14:07:34.903100
2,arousal,4,Person-yes-04.mp4,2026-08-04T14:07:38.924743
2,dominance,4,Person-yes-04.mp4,2026-08-04T14:07:45.304617
2,pleasure,1,Person-no-01.mp4,2026-08-04T14:07:48.221123
2,arousal,9,Person-no-01.mp4,2026-08-04T14:07:51.088582
2,dominance,3,Person-no-01.mp4,2026-08-04T14:07:54.294828
2,pleasure,5,Person-yes-02.mp4,2026-08-04T14:07:58.540590
2,arousal,5,Person-yes-02.mp4,2026-08-04T14:08:02.669116
2,dominance,5,Person-yes-02.mp4,2026-08-04T14:08:06.793851
